C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\10 Predictions with sound classifier\inference.py:28: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load("esc50_urban_model2.pth", map_location="cpu")
Sample 21/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 22/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 23/240 - Predicted: 'siren', Expected: 'siren'
Sample 24/240 - Predicted: 'siren', Expected: 'siren'
Sample 25/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 26/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 27/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 28/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 29/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 30/240 - Predicted: 'engine', Expected: 'engine'
Sample 31/240 - Predicted: 'engine', Expected: 'engine'
Sample 32/240 - Predicted: 'engine', Expected: 'engine'
Sample 33/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 34/240 - Predicted: 'helicopter', Expected: 'train'
Sample 35/240 - Predicted: 'helicopter', Expected: 'train'
Sample 36/240 - Predicted: 'airplane', Expected: 'siren'
Sample 37/240 - Predicted: 'engine', Expected: 'engine'
Sample 38/240 - Predicted: 'helicopter', Expected: 'train'
Sample 39/240 - Predicted: 'engine', Expected: 'engine'
Sample 40/240 - Predicted: 'train', Expected: 'train'
Sample 41/240 - Predicted: 'train', Expected: 'train'
Sample 42/240 - Predicted: 'siren', Expected: 'siren'
Sample 43/240 - Predicted: 'siren', Expected: 'siren'
Sample 44/240 - Predicted: 'siren', Expected: 'siren'
Sample 45/240 - Predicted: 'siren', Expected: 'siren'
Sample 46/240 - Predicted: 'siren', Expected: 'siren'
Sample 47/240 - Predicted: 'helicopter', Expected: 'train'
Sample 48/240 - Predicted: 'train', Expected: 'train'
Sample 49/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 50/240 - Predicted: 'engine', Expected: 'airplane'
Sample 51/240 - Predicted: 'airplane', Expected: 'engine'
Sample 52/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 53/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 54/240 - Predicted: 'engine', Expected: 'engine'
Sample 55/240 - Predicted: 'engine', Expected: 'engine'
Sample 56/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 57/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 58/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 59/240 - Predicted: 'train', Expected: 'train'
Sample 60/240 - Predicted: 'train', Expected: 'train'
Sample 61/240 - Predicted: 'train', Expected: 'train'
Sample 62/240 - Predicted: 'train', Expected: 'train'
Sample 63/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 64/240 - Predicted: 'airplane', Expected: 'car_horn'
Sample 65/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 66/240 - Predicted: 'helicopter', Expected: 'train'
Sample 67/240 - Predicted: 'train', Expected: 'train'
Sample 68/240 - Predicted: 'engine', Expected: 'train'
Sample 69/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 70/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 71/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 72/240 - Predicted: 'engine', Expected: 'helicopter'
Sample 73/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 74/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 75/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 76/240 - Predicted: 'helicopter', Expected: 'train'
Sample 77/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 78/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 79/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 80/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 81/240 - Predicted: 'airplane', Expected: 'car_horn'
Sample 82/240 - Predicted: 'siren', Expected: 'siren'
Sample 83/240 - Predicted: 'siren', Expected: 'siren'
Sample 84/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 85/240 - Predicted: 'siren', Expected: 'siren'
Sample 86/240 - Predicted: 'siren', Expected: 'siren'
Sample 87/240 - Predicted: 'siren', Expected: 'siren'
Sample 88/240 - Predicted: 'siren', Expected: 'siren'
Sample 89/240 - Predicted: 'siren', Expected: 'siren'
Sample 90/240 - Predicted: 'siren', Expected: 'siren'
Sample 91/240 - Predicted: 'engine', Expected: 'airplane'
Sample 92/240 - Predicted: 'train', Expected: 'engine'
Sample 93/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 94/240 - Predicted: 'engine', Expected: 'airplane'
Sample 95/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 96/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 97/240 - Predicted: 'engine', Expected: 'engine'
Sample 98/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 99/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 100/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 101/240 - Predicted: 'engine', Expected: 'engine'
Sample 102/240 - Predicted: 'airplane', Expected: 'engine'
Sample 103/240 - Predicted: 'engine', Expected: 'airplane'
Sample 104/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 105/240 - Predicted: 'airplane', Expected: 'train'
Sample 106/240 - Predicted: 'airplane', Expected: 'train'
Sample 107/240 - Predicted: 'train', Expected: 'train'
Sample 108/240 - Predicted: 'train', Expected: 'train'
Sample 109/240 - Predicted: 'engine', Expected: 'engine'
Sample 110/240 - Predicted: 'engine', Expected: 'engine'
Sample 111/240 - Predicted: 'helicopter', Expected: 'train'
Sample 112/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 113/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 114/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 115/240 - Predicted: 'engine', Expected: 'engine'
Sample 116/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 117/240 - Predicted: 'airplane', Expected: 'helicopter'
Sample 118/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 119/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 120/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 121/240 - Predicted: 'airplane', Expected: 'engine'
Sample 122/240 - Predicted: 'engine', Expected: 'helicopter'
Sample 123/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 124/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 125/240 - Predicted: 'airplane', Expected: 'car_horn'
Sample 126/240 - Predicted: 'helicopter', Expected: 'train'
Sample 127/240 - Predicted: 'train', Expected: 'train'
Sample 128/240 - Predicted: 'train', Expected: 'train'
Sample 129/240 - Predicted: 'airplane', Expected: 'car_horn'
Sample 130/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 131/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 132/240 - Predicted: 'airplane', Expected: 'car_horn'
Sample 133/240 - Predicted: 'engine', Expected: 'engine'
Sample 134/240 - Predicted: 'siren', Expected: 'siren'
Sample 135/240 - Predicted: 'engine', Expected: 'siren'
Sample 136/240 - Predicted: 'siren', Expected: 'siren'
Sample 137/240 - Predicted: 'siren', Expected: 'siren'
Sample 138/240 - Predicted: 'siren', Expected: 'siren'
Sample 139/240 - Predicted: 'siren', Expected: 'siren'
Sample 140/240 - Predicted: 'siren', Expected: 'siren'
Sample 141/240 - Predicted: 'siren', Expected: 'siren'
Sample 142/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 143/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 144/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 145/240 - Predicted: 'airplane', Expected: 'siren'
Sample 146/240 - Predicted: 'siren', Expected: 'siren'
Sample 147/240 - Predicted: 'siren', Expected: 'siren'
Sample 148/240 - Predicted: 'airplane', Expected: 'siren'
Sample 149/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 150/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 151/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 152/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 153/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 154/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 155/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 156/240 - Predicted: 'engine', Expected: 'helicopter'
Sample 157/240 - Predicted: 'train', Expected: 'helicopter'
Sample 158/240 - Predicted: 'helicopter', Expected: 'train'
Sample 159/240 - Predicted: 'train', Expected: 'train'
Sample 160/240 - Predicted: 'airplane', Expected: 'train'
Sample 161/240 - Predicted: 'train', Expected: 'train'
Sample 162/240 - Predicted: 'train', Expected: 'train'
Sample 163/240 - Predicted: 'train', Expected: 'train'
Sample 164/240 - Predicted: 'train', Expected: 'train'
Sample 165/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 166/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 167/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 168/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 169/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 170/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 171/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 172/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 173/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 174/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 175/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 176/240 - Predicted: 'train', Expected: 'train'
Sample 177/240 - Predicted: 'engine', Expected: 'engine'
Sample 178/240 - Predicted: 'engine', Expected: 'engine'
Sample 179/240 - Predicted: 'engine', Expected: 'engine'
Sample 180/240 - Predicted: 'engine', Expected: 'engine'
Sample 181/240 - Predicted: 'engine', Expected: 'engine'
Sample 182/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 183/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 184/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 185/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 186/240 - Predicted: 'engine', Expected: 'engine'
Sample 187/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 188/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 189/240 - Predicted: 'siren', Expected: 'siren'
Sample 190/240 - Predicted: 'helicopter', Expected: 'siren'
Sample 191/240 - Predicted: 'car_horn', Expected: 'siren'
Sample 192/240 - Predicted: 'airplane', Expected: 'siren'
Sample 193/240 - Predicted: 'siren', Expected: 'siren'
Sample 194/240 - Predicted: 'car_horn', Expected: 'siren'
Sample 195/240 - Predicted: 'siren', Expected: 'siren'
Sample 196/240 - Predicted: 'siren', Expected: 'siren'
Sample 197/240 - Predicted: 'siren', Expected: 'siren'
Sample 198/240 - Predicted: 'siren', Expected: 'siren'
Sample 199/240 - Predicted: 'siren', Expected: 'siren'
Sample 200/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 201/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 202/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 203/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 204/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 205/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 206/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 207/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 208/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 209/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 210/240 - Predicted: 'engine', Expected: 'car_horn'
Sample 211/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 212/240 - Predicted: 'car_horn', Expected: 'car_horn'
Sample 213/240 - Predicted: 'siren', Expected: 'siren'
Sample 214/240 - Predicted: 'train', Expected: 'train'
Sample 215/240 - Predicted: 'train', Expected: 'train'
Sample 216/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 217/240 - Predicted: 'helicopter', Expected: 'train'
Sample 218/240 - Predicted: 'airplane', Expected: 'train'
Sample 219/240 - Predicted: 'airplane', Expected: 'train'
Sample 220/240 - Predicted: 'train', Expected: 'train'
Sample 221/240 - Predicted: 'helicopter', Expected: 'train'
Sample 222/240 - Predicted: 'train', Expected: 'train'
Sample 223/240 - Predicted: 'helicopter', Expected: 'helicopter'
Sample 224/240 - Predicted: 'engine', Expected: 'engine'
Sample 225/240 - Predicted: 'helicopter', Expected: 'engine'
Sample 226/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 227/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 228/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 229/240 - Predicted: 'airplane', Expected: 'helicopter'
Sample 230/240 - Predicted: 'engine', Expected: 'engine'
Sample 231/240 - Predicted: 'airplane', Expected: 'engine'
Sample 232/240 - Predicted: 'airplane', Expected: 'airplane'
Sample 233/240 - Predicted: 'engine', Expected: 'engine'
Sample 234/240 - Predicted: 'airplane', Expected: 'engine'
Sample 235/240 - Predicted: 'engine', Expected: 'engine'
Sample 236/240 - Predicted: 'airplane', Expected: 'engine'
Sample 237/240 - Predicted: 'engine', Expected: 'airplane'
Sample 238/240 - Predicted: 'helicopter', Expected: 'airplane'
Sample 239/240 - Predicted: 'engine', Expected: 'airplane'
Sample 240/240 - Predicted: 'engine', Expected: 'airplane'

Total Correct Predictions: 151/240
Accuracy: 62.92%
