C:\Users\Codeexia\FinalSemester\Thesis\practice\AI_project\pytorchforaudio\sound_classification_CNN\inference.py:29: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load("esc50_urban_model4.pth", map_location="cpu")
Sample 19/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 20/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 21/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 22/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 23/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 24/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 25/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 26/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 27/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 28/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 29/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 30/240 - Predicted: 'train', Expected: 'engine' - Incorrect
Sample 31/240 - Predicted: 'airplane', Expected: 'engine' - Incorrect
Sample 32/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 33/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 34/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 35/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 36/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 37/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 38/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 39/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 40/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 41/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 42/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 43/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 44/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 45/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 46/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 47/240 - Predicted: 'airplane', Expected: 'train' - Incorrect
Sample 48/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 49/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 50/240 - Predicted: 'engine', Expected: 'airplane' - Incorrect
Sample 51/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 52/240 - Predicted: 'train', Expected: 'engine' - Incorrect
Sample 53/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 54/240 - Predicted: 'car_horn', Expected: 'engine' - Incorrect
Sample 55/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 56/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 57/240 - Predicted: 'train', Expected: 'engine' - Incorrect
Sample 58/240 - Predicted: 'train', Expected: 'engine' - Incorrect
Sample 59/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 60/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 61/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 62/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 63/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 64/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 65/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 66/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 67/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 68/240 - Predicted: 'airplane', Expected: 'train' - Incorrect
Sample 69/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 70/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 71/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 72/240 - Predicted: 'airplane', Expected: 'helicopter' - Incorrect
Sample 73/240 - Predicted: 'airplane', Expected: 'helicopter' - Incorrect
Sample 74/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 75/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 76/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 77/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 78/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 79/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 80/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 81/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 82/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 83/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 84/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 85/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 86/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 87/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 88/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 89/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 90/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 91/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 92/240 - Predicted: 'train', Expected: 'engine' - Incorrect
Sample 93/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 94/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 95/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 96/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 97/240 - Predicted: 'airplane', Expected: 'engine' - Incorrect
Sample 98/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 99/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 100/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 101/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 102/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 103/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 104/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 105/240 - Predicted: 'airplane', Expected: 'train' - Incorrect
Sample 106/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 107/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 108/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 109/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 110/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 111/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 112/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 113/240 - Predicted: 'helicopter', Expected: 'airplane' - Incorrect
Sample 114/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 115/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 116/240 - Predicted: 'airplane', Expected: 'car_horn' - Incorrect
Sample 117/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 118/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 119/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 120/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 121/240 - Predicted: 'car_horn', Expected: 'engine' - Incorrect
Sample 122/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 123/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 124/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 125/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 126/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 127/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 128/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 129/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 130/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 131/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 132/240 - Predicted: 'engine', Expected: 'car_horn' - Incorrect
Sample 133/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 134/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 135/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 136/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 137/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 138/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 139/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 140/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 141/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 142/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 143/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 144/240 - Predicted: 'airplane', Expected: 'helicopter' - Incorrect
Sample 145/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 146/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 147/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 148/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 149/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 150/240 - Predicted: 'engine', Expected: 'airplane' - Incorrect
Sample 151/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 152/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 153/240 - Predicted: 'helicopter', Expected: 'airplane' - Incorrect
Sample 154/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 155/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 156/240 - Predicted: 'airplane', Expected: 'helicopter' - Incorrect
Sample 157/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 158/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 159/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 160/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 161/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 162/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 163/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 164/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 165/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 166/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 167/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 168/240 - Predicted: 'train', Expected: 'helicopter' - Incorrect
Sample 169/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 170/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 171/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 172/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 173/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 174/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 175/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 176/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 177/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 178/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 179/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 180/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 181/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 182/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 183/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 184/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 185/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 186/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 187/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 188/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 189/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 190/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 191/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 192/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 193/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 194/240 - Predicted: 'car_horn', Expected: 'siren' - Incorrect
Sample 195/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 196/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 197/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 198/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 199/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 200/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 201/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 202/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 203/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 204/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 205/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 206/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 207/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 208/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 209/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 210/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 211/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 212/240 - Predicted: 'car_horn', Expected: 'car_horn' - Correct
Sample 213/240 - Predicted: 'siren', Expected: 'siren' - Correct
Sample 214/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 215/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 216/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 217/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 218/240 - Predicted: 'airplane', Expected: 'train' - Incorrect
Sample 219/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 220/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 221/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 222/240 - Predicted: 'train', Expected: 'train' - Correct
Sample 223/240 - Predicted: 'engine', Expected: 'helicopter' - Incorrect
Sample 224/240 - Predicted: 'car_horn', Expected: 'engine' - Incorrect
Sample 225/240 - Predicted: 'helicopter', Expected: 'engine' - Incorrect
Sample 226/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 227/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 228/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 229/240 - Predicted: 'helicopter', Expected: 'helicopter' - Correct
Sample 230/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 231/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 232/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 233/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 234/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 235/240 - Predicted: 'engine', Expected: 'engine' - Correct
Sample 236/240 - Predicted: 'car_horn', Expected: 'engine' - Incorrect
Sample 237/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 238/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 239/240 - Predicted: 'airplane', Expected: 'airplane' - Correct
Sample 240/240 - Predicted: 'airplane', Expected: 'airplane' - Correct

Total Correct Predictions: 209/240
Accuracy: 87.08%
